kg_id,complete,coverage,reference_fields,generated_fields,missing_fields,missing_profile_information,unexpected_profile_information
AugustiniConfessiones,0,0.8750,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:sparqlEndpoint; void:triples,dcterms:contributor; dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:publisher; dcterms:subject; dcterms:title; void:classPartition; void:classes; void:dataDump; void:entities; void:feature; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,foaf:homepage,distinct_objects; distinct_subjects,
BVMC,0,0.6250,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:exampleResource; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:identifier; dcterms:subject; dcterms:title; foaf:homepage; void:classPartition; void:classes; void:entities; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,dcterms:description; dcterms:publisher; void:exampleResource,distinct_objects; distinct_subjects,
Biop,0,0.5000,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:sparqlEndpoint; void:triples,dcterms:identifier; dcterms:subject; dcterms:title; void:classPartition; void:classes; void:dataDump; void:distinctObjects; void:distinctSubjects; void:entities; void:feature; void:properties; void:propertyPartition; void:triples,dcterms:description; dcterms:publisher; foaf:homepage; void:sparqlEndpoint,linkset; vocabularies,
Bioportal,0,0.5714,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:triples,dcterms:identifier; dcterms:subject; dcterms:title; void:classPartition; void:classes; void:dataDump; void:entities; void:properties; void:propertyPartition; void:triples,dcterms:description; dcterms:publisher; foaf:homepage,distinct_objects; distinct_subjects; feature; linkset; vocabularies,
Bioportal_link,0,0.4286,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:triples,dcterms:identifier; dcterms:subject; dcterms:title; void:classPartition; void:classes; void:entities; void:properties; void:propertyPartition; void:triples; void:vocabulary,dcterms:description; dcterms:publisher; foaf:homepage; void:dataDump,distinct_objects; distinct_subjects,
CLaSSES,0,0.8750,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:sparqlEndpoint; void:triples,dcterms:contributor; dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:publisher; dcterms:subject; dcterms:title; void:classPartition; void:classes; void:dataDump; void:entities; void:feature; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,foaf:homepage,distinct_objects; distinct_subjects; linkset,
CONNECTED,0,0.6250,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:subject; dcterms:title; void:classPartition; void:classes; void:dataDump; void:distinctObjects; void:distinctSubjects; void:entities; void:properties; void:propertyPartition; void:triples,dcterms:publisher; foaf:homepage; void:sparqlEndpoint,feature; linkset; vocabularies,
CPC,0,0.4444,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:exampleResource; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:subject; dcterms:title; void:sparqlEndpoint,dcterms:publisher; foaf:homepage; void:dataDump; void:exampleResource; void:triples,class_partition; classes; distinct_objects; distinct_subjects; entities; linkset; properties; property_partition; triples; vocabularies,
CaLiGraph,0,0.6667,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:exampleResource; void:sparqlEndpoint; void:triples,dcterms:created; dcterms:creator; dcterms:identifier; dcterms:license; dcterms:publisher; dcterms:source; dcterms:subject; dcterms:title; foaf:homepage; void:classPartition; void:classes; void:entities; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:uriSpace,dcterms:description; void:dataDump; void:exampleResource,distinct_objects; distinct_subjects; vocabularies,
Catch_Record_(2014-_2019),0,0.8571,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:subject; dcterms:title; foaf:homepage; void:classPartition; void:classes; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,dcterms:publisher,distinct_objects; distinct_subjects; entities,
Chinese_Red_Classic_Song_Linked_Data_Dataset,0,0.4444,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:exampleResource; void:sparqlEndpoint; void:triples,dcterms:identifier; dcterms:subject; dcterms:title; void:classPartition; void:classes; void:dataDump; void:entities; void:properties; void:propertyPartition; void:triples; void:vocabulary,dcterms:description; dcterms:publisher; foaf:homepage; void:exampleResource; void:sparqlEndpoint,distinct_objects; distinct_subjects; feature,
CompHistSem,0,0.8750,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:sparqlEndpoint; void:triples,dcterms:contributor; dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:publisher; dcterms:subject; dcterms:title; void:classPartition; void:classes; void:dataDump; void:entities; void:feature; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,foaf:homepage,distinct_objects; distinct_subjects; linkset,
Corine_linked_dataset,0,0.8571,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:subject; dcterms:title; foaf:homepage; void:classPartition; void:classes; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,dcterms:publisher,distinct_objects; distinct_subjects; entities; linkset,
CorpusFibonacci,0,0.8750,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:sparqlEndpoint; void:triples,dcterms:contributor; dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:publisher; dcterms:subject; dcterms:title; void:classPartition; void:classes; void:dataDump; void:entities; void:feature; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,foaf:homepage,distinct_objects; distinct_subjects; linkset,
DanteLatinLoanwords,0,0.8750,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:sparqlEndpoint; void:triples,dcterms:contributor; dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:publisher; dcterms:subject; dcterms:title; void:classPartition; void:classes; void:dataDump; void:entities; void:feature; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,foaf:homepage,distinct_objects; distinct_subjects; linkset,
ECNU-GISer,0,0.5714,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:triples,dcterms:identifier; dcterms:subject; dcterms:title; void:classPartition; void:classes; void:dataDump; void:distinctObjects; void:distinctSubjects; void:entities; void:properties; void:propertyPartition; void:triples,dcterms:description; dcterms:publisher; foaf:homepage,feature; linkset; vocabularies,
EOKP-Datasets,0,0.5714,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:triples,dcterms:identifier; dcterms:subject; dcterms:title; void:classPartition; void:classes; void:dataDump; void:distinctObjects; void:distinctSubjects; void:entities; void:properties; void:propertyPartition; void:triples; void:vocabulary,dcterms:description; dcterms:publisher; foaf:homepage,feature; linkset,
EO_metadata,0,0.8571,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:subject; dcterms:title; foaf:homepage; void:classPartition; void:classes; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,dcterms:publisher,distinct_objects; distinct_subjects; entities,
Earthquake,0,0.5000,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:sparqlEndpoint; void:triples,dcterms:identifier; dcterms:subject; dcterms:title; void:classPartition; void:classes; void:dataDump; void:distinctObjects; void:distinctSubjects; void:entities; void:properties; void:propertyPartition; void:triples; void:vocabulary,dcterms:description; dcterms:publisher; foaf:homepage; void:sparqlEndpoint,feature; linkset,
Earthquake_case,0,0.5000,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:sparqlEndpoint; void:triples,dcterms:identifier; dcterms:subject; dcterms:title; void:dataDump; void:distinctObjects; void:distinctSubjects; void:entities; void:properties; void:propertyPartition; void:triples; void:vocabulary,dcterms:description; dcterms:publisher; foaf:homepage; void:sparqlEndpoint,class_partition; classes; feature; linkset,
EtymologicalDictionaryofLatin,0,0.8750,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:sparqlEndpoint; void:triples,dcterms:contributor; dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:publisher; dcterms:subject; dcterms:title; void:classPartition; void:classes; void:dataDump; void:entities; void:feature; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,foaf:homepage,distinct_objects; distinct_subjects; linkset,
European_Patent_Information,0,0.4444,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:exampleResource; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:subject; dcterms:title; void:sparqlEndpoint,dcterms:publisher; foaf:homepage; void:dataDump; void:exampleResource; void:triples,class_partition; classes; distinct_objects; distinct_subjects; entities; linkset; properties; property_partition; triples; vocabularies,
FADN_(2019),0,0.8571,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:subject; dcterms:title; foaf:homepage; void:classPartition; void:classes; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,dcterms:publisher,distinct_objects; distinct_subjects; entities,
FHIR_STU3,0,0.5714,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:triples,dcterms:identifier; dcterms:subject; dcterms:title; void:classPartition; void:classes; void:dataDump; void:distinctObjects; void:distinctSubjects; void:entities; void:properties; void:propertyPartition; void:triples,dcterms:description; dcterms:publisher; foaf:homepage,feature; linkset; vocabularies,
Fishery_Stock_Dataset,0,0.8571,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:subject; dcterms:title; foaf:homepage; void:classPartition; void:classes; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,dcterms:publisher,distinct_objects; distinct_subjects; entities,
GACS,0,0.5714,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:triples,dcterms:identifier; dcterms:subject; dcterms:title; void:classPartition; void:classes; void:dataDump; void:distinctObjects; void:distinctSubjects; void:entities; void:properties; void:propertyPartition; void:triples; void:vocabulary,dcterms:description; dcterms:publisher; foaf:homepage,feature; linkset,
GTS-ont,0,0.7143,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:subject; dcterms:title; void:classPartition; void:classes; void:dataDump; void:distinctObjects; void:distinctSubjects; void:entities; void:properties; void:propertyPartition; void:triples,dcterms:publisher; foaf:homepage,feature; linkset; vocabularies,
Hermos,0,0.5714,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:triples,dcterms:identifier; dcterms:subject; dcterms:title; void:classPartition; void:classes; void:dataDump; void:distinctObjects; void:distinctSubjects; void:entities; void:feature; void:properties; void:propertyPartition; void:triples; void:vocabulary,dcterms:description; dcterms:publisher; foaf:homepage,linkset,
IGVLL,0,0.8750,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:sparqlEndpoint; void:triples,dcterms:contributor; dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:publisher; dcterms:subject; dcterms:title; void:classPartition; void:classes; void:dataDump; void:entities; void:feature; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,foaf:homepage,distinct_objects; distinct_subjects; linkset,
IHE,0,0.6250,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:exampleResource; void:sparqlEndpoint; void:triples,dcterms:identifier; dcterms:subject; dcterms:title; foaf:homepage; void:classPartition; void:classes; void:distinctObjects; void:distinctSubjects; void:entities; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,dcterms:description; dcterms:publisher; void:exampleResource,linkset,
IndexThomisticusTreebank,0,0.8750,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:sparqlEndpoint; void:triples,dcterms:contributor; dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:publisher; dcterms:subject; dcterms:title; void:classPartition; void:classes; void:dataDump; void:entities; void:feature; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,foaf:homepage,distinct_objects; distinct_subjects; linkset,
KING,0,0.5714,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:triples,dcterms:identifier; dcterms:subject; dcterms:title; void:classPartition; void:classes; void:dataDump; void:distinctObjects; void:distinctSubjects; void:entities; void:properties; void:propertyPartition; void:triples,dcterms:description; dcterms:publisher; foaf:homepage,feature; linkset; vocabularies,
LASLA,0,0.8750,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:sparqlEndpoint; void:triples,dcterms:contributor; dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:publisher; dcterms:subject; dcterms:title; void:classPartition; void:classes; void:dataDump; void:entities; void:feature; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,foaf:homepage,distinct_objects; distinct_subjects; linkset,
LPIS_Czech_Republic,0,0.8571,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:subject; dcterms:title; foaf:homepage; void:classPartition; void:classes; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,dcterms:publisher,distinct_objects; distinct_subjects; entities; linkset,
LatinAffectus,0,0.8750,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:sparqlEndpoint; void:triples,dcterms:contributor; dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:publisher; dcterms:subject; dcterms:title; void:classPartition; void:classes; void:dataDump; void:entities; void:feature; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,foaf:homepage,distinct_objects; distinct_subjects,
LatinWordnetLiLa,0,0.7778,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:exampleResource; void:sparqlEndpoint; void:triples,dcterms:contributor; dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:publisher; dcterms:subject; dcterms:title; void:classPartition; void:classes; void:dataDump; void:entities; void:feature; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,foaf:homepage; void:exampleResource,distinct_objects; distinct_subjects,
Latin_Vallex2.0,0,0.8750,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:sparqlEndpoint; void:triples,dcterms:contributor; dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:publisher; dcterms:subject; dcterms:title; void:classPartition; void:classes; void:dataDump; void:entities; void:feature; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,foaf:homepage,distinct_objects; distinct_subjects,
LemmaBank,0,0.8000,dcat:distribution; dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:exampleResource; void:sparqlEndpoint; void:triples,dcterms:contributor; dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:publisher; dcterms:subject; dcterms:title; void:classPartition; void:classes; void:dataDump; void:entities; void:feature; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,foaf:homepage; void:exampleResource,distinct_objects; distinct_subjects,
LewisShort,0,0.8750,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:sparqlEndpoint; void:triples,dcterms:contributor; dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:publisher; dcterms:subject; dcterms:title; void:classPartition; void:classes; void:dataDump; void:entities; void:feature; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,foaf:homepage,distinct_objects; distinct_subjects,
LucaniPharsalia,0,0.8750,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:sparqlEndpoint; void:triples,dcterms:contributor; dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:publisher; dcterms:subject; dcterms:title; void:classPartition; void:classes; void:dataDump; void:entities; void:feature; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,foaf:homepage,distinct_objects; distinct_subjects,
NITP,0,0.6250,dcat:distribution; dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:triples,dcterms:identifier; dcterms:subject; dcterms:title; void:classPartition; void:classes; void:dataDump; void:distinctObjects; void:distinctSubjects; void:entities; void:properties; void:propertyPartition; void:triples; void:vocabulary,dcterms:description; dcterms:publisher; foaf:homepage,feature; linkset,
NLW,0,0.8750,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:sparqlEndpoint; void:triples,dcterms:contributor; dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:publisher; dcterms:subject; dcterms:title; void:classPartition; void:classes; void:dataDump; void:entities; void:feature; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,foaf:homepage,distinct_objects; distinct_subjects,
Naturopathy,0,0.5556,dcat:distribution; dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:exampleResource; void:triples,dcterms:identifier; dcterms:issued; dcterms:modified; dcterms:subject; dcterms:title; void:classPartition; void:classes; void:dataDump; void:distinctObjects; void:distinctSubjects; void:entities; void:feature; void:properties; void:propertyPartition; void:triples; void:vocabulary,dcterms:description; dcterms:publisher; foaf:homepage; void:exampleResource,linkset,
NoiPA,1,1.0000,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:modified; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:classPartition; void:classes; void:dataDump; void:entities; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,,distinct_objects; distinct_subjects; feature; linkset,
Norway_Fishery_,0,0.8571,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:subject; dcterms:title; foaf:homepage; void:classPartition; void:classes; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,dcterms:publisher,distinct_objects; distinct_subjects; entities; linkset,
OLU,0,0.8571,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:subject; dcterms:title; foaf:homepage; void:classPartition; void:classes; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,dcterms:publisher,distinct_objects; distinct_subjects; entities; linkset,
OTM,0,0.8571,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:subject; dcterms:title; foaf:homepage; void:classPartition; void:classes; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,dcterms:publisher,distinct_objects; distinct_subjects; entities; linkset,
Open_Land_Use,0,0.8571,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:subject; dcterms:title; foaf:homepage; void:classPartition; void:classes; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,dcterms:publisher,distinct_objects; distinct_subjects; entities; linkset,
